Sample Name,Target Name,Ct Mean,DeltaCt,DDeltaCt,FoldChange
H9_NT_LSB_D16,ASCL1,26.2385253906,10.9965963363,0.0,1.0
H9_NT_LSB_D16,FOXG1,30.7194976807,15.477568626400002,0.0,1.0
H9_NT_LSB_D16,GAPDH,15.2419290543,0.0,0.0,1.0
H9_NT_LSB_D16,HOXB4,31.3763179779,16.1343889236,0.0,1.0
H9_NT_LSB_D16,PAX6,20.4263362885,5.1844072342,0.0,1.0
H9_NT_LSB_D16,RFX,29.7250537872,14.4831247329,0.0,1.0
H9_NT_LSB_D16,SOX1,27.2021713257,11.9602422714,0.0,1.0
H9_NT_LSB_D16,SOX2,20.2521286011,5.010199546800001,0.0,1.0
H9_NT_LSB_D16,TUBB3,18.0708007812,2.828871726899999,0.0,1.0
H9_NT_LSB_D16,ZIC1,21.032491684,5.7905626297,0.0,1.0
H9_NT_LSB_D20,ASCL1,25.4337768555,10.040878295899999,-0.9557180404000007,1.9395447199853135
H9_NT_LSB_D20,FOXG1,26.8352108002,11.442312240599998,-4.035256385800004,16.39582266201482
H9_NT_LSB_D20,GAPDH,15.3928985596,0.0,0.0,1.0
H9_NT_LSB_D20,HOXB4,30.7275161743,15.334617614699999,-0.7997713089000005,1.7408251550503664
H9_NT_LSB_D20,PAX6,20.0965576172,4.703659057599998,-0.48074817660000235,1.3954671631205928
H9_NT_LSB_D20,RFX,24.8639812469,9.4710826873,-5.012042045600001,32.2682189610914
H9_NT_LSB_D20,SOX1,24.9103984833,9.517499923699999,-2.442742347700001,5.436741927931033
H9_NT_LSB_D20,SOX2,20.143693924,4.7507953644,-0.25940418240000085,1.196984260846455
H9_NT_LSB_D20,TUBB3,21.1152515411,5.7223529815,2.893481254600001,0.1345783968378041
H9_NT_LSB_D20,ZIC1,21.8989543915,6.506055831899998,0.7154932021999976,0.6089969035214926
H9_NT_LSB_D27,ASCL1,23.4983272552,7.4413948059,-3.5552015303999998,11.754991008922849
H9_NT_LSB_D27,FOXG1,28.1471424103,12.090209961,-3.3873586654000025,10.46397189114358
H9_NT_LSB_D27,GAPDH,16.0569324493,0.0,0.0,1.0
H9_NT_LSB_D27,HOXB4,31.145986557,15.0890541077,-1.0453348158999987,2.0638452734224457
H9_NT_LSB_D27,PAX6,21.6994533539,5.642520904600001,0.4581136704000013,0.7279374178198919
H9_NT_LSB_D27,RFX,26.6277637482,10.5708312989,-3.9122934340000004,15.056279749963483
H9_NT_LSB_D27,SOX1,28.0249271393,11.967994690000001,0.0077524186000008655,0.9946408446907635
H9_NT_LSB_D27,SOX2,20.7137126923,4.656780243,-0.35341930380000086,1.2775850215894229
H9_NT_LSB_D27,TUBB3,19.0667514801,3.0098190307999992,0.18094730390000002,0.8821235851898991
H9_NT_LSB_D27,ZIC1,22.2461071014,6.1891746521,0.39861202240000004,0.7585877489088027
H9_Ri1_LSB_D16,ASCL1,30.1122055054,14.510733604499999,3.514137268199999,0.08752644177513517
H9_Ri1_LSB_D16,FOXG1,29.9139709473,14.312499046400001,-1.1650695800000008,2.242440304507974
H9_Ri1_LSB_D16,GAPDH,15.6014719009,0.0,0.0,1.0
H9_Ri1_LSB_D16,HOXB4,31.3911113739,15.789639473,-0.3447494506000002,1.2699304176061046
H9_Ri1_LSB_D16,PAX6,17.840631485,2.2391595840999994,-2.9452476501000007,7.7020775543308595
H9_Ri1_LSB_D16,RFX,28.2396316528,12.6381597519,-1.8449649810000004,3.5924422899721113
H9_Ri1_LSB_D16,SOX1,27.2169647217,11.615492820799998,-0.34474945060000195,1.2699304176061061
H9_Ri1_LSB_D16,SOX2,19.7318668365,4.1303949356,-0.8798046112000009,1.8401260702186293
H9_Ri1_LSB_D16,TUBB3,19.0820465088,3.4805746079000013,0.6517028810000021,0.6365285454097847
H9_Ri1_LSB_D16,ZIC1,26.3698654175,10.768393516600002,4.977830886900001,0.031733910291640514
H9_Ri1_LSB_D20,ASCL1,28.4929981232,13.1449766159,2.1483802795999996,0.2255657172217389
H9_Ri1_LSB_D20,FOXG1,27.7889995575,12.440978050199998,-3.0365905762000036,8.205496186662044
H9_Ri1_LSB_D20,GAPDH,15.3480215073,0.0,0.0,1.0
H9_Ri1_LSB_D20,HOXB4,30.8786220551,15.530600547799999,-0.6037883758000007,1.5197019199646873
H9_Ri1_LSB_D20,PAX6,18.7660503387,3.418028831400001,-1.7663784027999991,3.401988826928844
H9_Ri1_LSB_D20,RFX,27.6877746582,12.339753150899998,-2.143371582000002,4.417933129471134
H9_Ri1_LSB_D20,SOX1,27.0615291595,11.7135076522,-0.24673461919999973,1.1865185199279895
H9_Ri1_LSB_D20,SOX2,20.2741470337,4.9261255264,-0.084074020400001,1.0600071678233363
H9_Ri1_LSB_D20,TUBB3,21.1263961792,5.7783746719,2.9495029450000008,0.12945270843360682
H9_Ri1_LSB_D20,ZIC1,24.8220462799,9.4740247726,3.6834621429,0.07783365178835717
H9_Ri1_LSB_D27,ASCL1,23.7915287018,3.259420394900001,-7.7371759413999985,213.36443994061023
H9_Ri1_LSB_D27,FOXG1,29.7281856537,9.1960773468,-6.281491279600003,77.7888395333864
H9_Ri1_LSB_D27,GAPDH,20.5321083069,0.0,0.0,1.0
H9_Ri1_LSB_D27,HOXB4,30.8072071075,10.275098800599999,-5.859290123000001,58.05265414709363
H9_Ri1_LSB_D27,PAX6,18.2001037598,-2.3320045470999986,-7.516411781299999,183.09032936293633
H9_Ri1_LSB_D27,RFX,25.8945178986,5.3624095917000005,-9.1207151412,556.6841284997779
H9_Ri1_LSB_D27,SOX1,24.7857589722,4.2536506653,-7.7065916061,208.8888398015474
H9_Ri1_LSB_D27,SOX2,18.4344997406,-2.0976085663,-7.107808113100001,137.93149564778014
H9_Ri1_LSB_D27,TUBB3,18.742433548,-1.7896747588999986,-4.618546485799998,24.5652409665553
H9_Ri1_LSB_D27,ZIC1,26.4070129395,5.8749046326,0.08434200289999971,0.9432146274911091
H9_Ri3_LSB_D16,ASCL1,29.5665645599,14.167539596500001,3.1709432602000014,0.11103271620372299
H9_Ri3_LSB_D16,FOXG1,31.4236297607,16.0246047973,0.5470361708999985,0.6844247465996325
H9_Ri3_LSB_D16,GAPDH,15.3990249634,0.0,0.0,1.0
H9_Ri3_LSB_D16,HOXB4,31.4592895508,16.0602645874,-0.07412433620000058,1.0527218778311465
H9_Ri3_LSB_D16,PAX6,18.0371112823,2.6380863188999992,-2.546320915300001,5.841427274162957
H9_Ri3_LSB_D16,RFX,26.6523361206,11.2533111572,-3.2298135756999997,9.381467247227386
H9_Ri3_LSB_D16,SOX1,24.6526031494,9.253578186,-2.7066640854,6.528104199828015
H9_Ri3_LSB_D16,SOX2,20.0290126801,4.629987716699999,-0.38021183010000215,1.3015329447617838
H9_Ri3_LSB_D16,TUBB3,19.7451114655,4.346086502099999,1.5172147751999994,0.3493597296202904
H9_Ri3_LSB_D16,ZIC1,24.422082901,9.023057937599999,3.232495307899999,0.10639517946892274
H9_Ri3_LSB_D20,ASCL1,27.5795345306,12.0727872848,1.0761909485000007,0.4742793799719599
H9_Ri3_LSB_D20,FOXG1,27.8251056671,12.318358421300001,-3.159210205100001,8.933405225628247
H9_Ri3_LSB_D20,GAPDH,15.5067472458,0.0,0.0,1.0
H9_Ri3_LSB_D20,HOXB4,30.5396652222,15.0329179764,-1.1014709471999993,2.1457335634123464
H9_Ri3_LSB_D20,PAX6,19.7798900604,4.2731428146,-0.9112644196000002,1.8806930700553712
H9_Ri3_LSB_D20,RFX,26.5616912842,11.054944038399999,-3.4281806945000017,10.764285787757565
H9_Ri3_LSB_D20,SOX1,26.6009731293,11.094225883500002,-0.8660163878999985,1.8226232647475102
H9_Ri3_LSB_D20,SOX2,20.4858112335,4.979063987700002,-0.0311355590999991,1.021816090504029
H9_Ri3_LSB_D20,TUBB3,21.9221858978,6.415438651999999,3.5865669250999996,0.0832407096601584
H9_Ri3_LSB_D20,ZIC1,23.197555542,7.6908082962,1.9002456665,0.2678977433071987
H9_Ri3_LSB_D27,ASCL1,23.785774231,8.714916229300002,-2.281680106999998,4.862438850373193
H9_Ri3_LSB_D27,FOXG1,26.4183883667,11.347530365,-4.130038261400001,17.509163570716254
H9_Ri3_LSB_D27,GAPDH,15.0708580017,0.0,0.0,1.0
H9_Ri3_LSB_D27,HOXB4,30.606672287,15.535814285299999,-0.5985746383000006,1.5142198001194676
H9_Ri3_LSB_D27,PAX6,17.9738292694,2.9029712677,-2.2814359665,4.861616072323127
H9_Ri3_LSB_D27,RFX,23.559545517,8.4886875153,-5.9944372176,63.75370222200976
H9_Ri3_LSB_D27,SOX1,21.1190738678,6.048215866100001,-5.912026405299999,60.213972952647104
H9_Ri3_LSB_D27,SOX2,17.9558429718,2.8849849700999997,-2.1252145767000012,4.362679757880748
H9_Ri3_LSB_D27,TUBB3,19.1950016022,4.124143600500002,1.2952718736000026,0.4074593738909022
H9_Ri3_LSB_D27,ZIC1,24.0251865387,8.954328537000002,3.163765907300002,0.11158647606440548
